window_count,trajectory_fraction,replicate_count,valid_replicate_count,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,mcmc_max_r_hat,mcmc_min_n_eff,mcmc_divergence_total
10,0.063,5,2,11.909274344378865,1.2484502973839726,2.0474542780463563,9.965596566657739,0.09375,0.175,1.0299635862270158,110.6743362893884,0
10,0.1,5,5,14.418500117305097,2.0685122996057177,6.004233385838006,11.519459486473496,0.05,0.1275,1.0299153691992267,105.07659876360732,0
10,0.16,5,4,15.756249200307643,2.3021661745366266,6.511974763970409,11.169693528862943,0.078125,0.19062500000000002,1.0309329529334033,100.53628850056914,0
10,0.25,5,1,15.843682679291637,0.6975303699209487,0.6570059635852982,11.90298953048089,0.025,0.0625,1.0094575638174255,198.79129056046645,0
10,0.4,5,2,12.057679931523804,0.9606421372878131,1.408045895782064,9.482230010277586,0.0125,0.025,1.021050602168769,107.45591196798401,0
10,0.6,5,2,12.304661526583342,3.41348355795109,11.933436840736091,8.764718727827574,0.25625000000000003,0.30625,1.0330032935545674,140.0994572135865,0
10,0.8,5,2,11.261585227279154,1.6711796760363415,4.50566873074351,8.716435517288744,0.10625,0.15000000000000002,1.0147386294220122,103.08140380528587,0
10,0.9,5,1,11.732418558936686,0.47336661890126397,0.35624359402500905,9.074102128586478,0.0,0.025,1.0089102362436153,181.74835486456246,0
10,1.0,5,2,13.365848642473964,0.586392259785505,0.6448836396188389,9.424369984126404,0.00625,0.00625,1.0234397232030257,102.92620420707401,0
13,0.04,5,3,14.80973007742453,2.567496134766993,8.510150553521513,12.010289855543325,0.054166666666666675,0.10833333333333334,1.017043851292681,156.27607459478708,0
13,0.063,5,4,10.566828453084053,1.4864825155601549,3.4523413416078284,7.9539825042169525,0.0875,0.12812500000000002,1.0235686288121322,103.85571568052097,0
13,0.1,5,4,7.065886377917519,0.6428358661925294,0.6172394089116457,5.261279478651934,0.06875,0.15,1.0226194400996063,104.03751559907712,0
13,0.16,5,2,11.379159497367322,1.065044041262293,1.7758885794524333,8.28230756673361,0.05,0.0875,1.0123081241177472,103.4479383882444,0
13,0.25,5,3,10.284241169065316,1.6559220447598222,3.5260102286187376,6.981948486914689,0.09166666666666667,0.15416666666666667,1.015595231199702,132.33558789623376,0
13,0.4,5,2,10.309150210871994,1.0388220592051978,1.9385950060886419,7.019685077328157,0.03125,0.1,1.0355401218000666,127.92861898092714,0
13,0.6,5,1,9.1080535015881,1.2150897620775727,1.6913650090758026,8.102619617919258,0.0625,0.0625,1.0113708270321662,128.54930846947798,0
13,0.8,5,1,1.5847720618164542,0.1959301247417676,0.06349821646003637,1.2818664309495784,0.025,0.0875,1.0068713546039108,186.61556010055514,0
13,0.9,5,2,2.115963305979577,0.2854893256672837,0.46826014202372324,1.302663339328702,0.05,0.1,1.0098508914798225,118.63231013486096,0
13,1.0,5,1,1.412120395088205,0.17762140013036948,0.05232991672397256,1.1402725869158599,0.05,0.1125,1.0137308369557914,105.58417392645971,0
16,0.04,5,3,13.496326337119049,1.6526008382926778,4.248992123123689,10.308639410579657,0.1125,0.18333333333333335,1.0301213641085036,120.05583511990888,0
16,0.063,5,4,7.379082849990347,0.7074240463929746,0.9229698478829611,5.76854956481116,0.040625,0.078125,1.0127536412024492,124.74955940341096,0
16,0.1,5,4,5.8238331967170724,0.704391316635645,0.7932190359763209,4.273766536170376,0.040625,0.09375,1.0292008571351587,108.64911200799197,0
16,0.16,5,2,10.766139832839627,1.5583491046432627,4.03748977092158,8.717240035349459,0.025,0.04375,1.0267226570679338,102.46166406316347,0
16,0.25,5,3,5.83965789937924,0.3330913864417606,0.3185202912860712,4.062822615762375,0.04583333333333333,0.07083333333333333,1.0129122469803113,101.9374811238179,0
16,0.4,5,4,2.88320221395464,0.37537665901367095,0.22559358400349674,2.261047589488429,0.1,0.171875,1.0209469050644597,143.54397019483773,0
