window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count,r_hat_above_1p05,ess_below_100,failure_reason
8,0.04,3,nuts_refined_fast,False,False,failed_sampler_diagnostics,20.622774771804522,3.5634674409886458,13.030686330172955,16.908172562075272,0.0625,0.125,1.0505003364242556,149.37714047530156,0,True,False,failed_sampler_diagnostics
8,0.04,4,nuts,False,False,failed_sampler_diagnostics,16.85511348870798,2.0659335014503633,5.152851027216224,12.23005834764117,0.0125,0.075,1.0192667320133793,80.27085084009553,0,False,True,failed_sampler_diagnostics
8,0.063,3,nuts,False,False,failed_sampler_diagnostics,20.13790663895805,3.0680352194323883,9.881371927484278,16.356553501469136,0.0125,0.1875,1.018701759609401,82.58265273411101,0,False,True,failed_sampler_diagnostics
8,0.1,3,nuts,False,False,failed_sampler_diagnostics,16.418734998879145,3.7765382539720784,14.490158524736671,12.874051561285285,0.0625,0.125,1.0214862778224445,93.46285908676501,0,False,True,failed_sampler_diagnostics
8,0.16,1,nuts,False,False,failed_sampler_diagnostics,11.748440804844273,3.1573322205494394,10.071192735753382,9.178150156728787,0.075,0.2375,1.0345871298357534,39.880357512131575,0,False,True,failed_sampler_diagnostics
8,0.16,2,nuts,False,False,failed_sampler_diagnostics,20.48889650055728,2.872237370331954,8.528751858863615,17.036049024977565,0.0375,0.075,1.0186590998529161,92.89613956103788,0,False,True,failed_sampler_diagnostics
8,0.16,4,nuts,False,False,failed_sampler_diagnostics,22.831902928458558,3.06129796256107,9.821214694261162,15.829535953944134,0.2,0.3625,1.0313276334215815,93.23058275942438,0,False,True,failed_sampler_diagnostics
8,0.16,5,nuts,False,False,failed_sampler_diagnostics,13.510491951018134,3.66439183435577,13.667708896523084,10.103171551948583,0.225,0.2875,1.0147316659933765,61.39959082444245,0,False,True,failed_sampler_diagnostics
8,0.4,1,nuts,False,False,failed_sampler_diagnostics,12.097348121410656,1.3707648507995103,2.114191388122967,10.136681357965962,0.025,0.0625,1.0372389449399704,79.08184628794254,0,False,True,failed_sampler_diagnostics
8,0.4,2,nuts,False,False,failed_sampler_diagnostics,19.827902084382995,2.948985211653119,9.025311087564393,16.29167964009232,0.05,0.1,1.055360882905232,55.0454792133984,0,True,True,failed_sampler_diagnostics
8,0.4,4,nuts,False,False,failed_sampler_diagnostics,18.092354640190372,3.4410822964748875,12.039613670052898,13.04323378332695,0.05,0.2,1.0127800307754151,74.63434878641132,0,False,True,failed_sampler_diagnostics
8,0.4,5,nuts,False,False,failed_sampler_diagnostics,10.287433643441378,2.977889202526446,9.147143934060775,7.7890163472377765,0.125,0.275,1.0384390296980253,54.93841550829756,0,False,True,failed_sampler_diagnostics
8,0.6,1,nuts,False,False,failed_sampler_diagnostics,11.265260139252124,1.1727726767496711,1.6168284470892822,9.289124953331445,0.0,0.075,1.0223034001863984,92.81478763407777,0,False,True,failed_sampler_diagnostics
8,0.6,4,nuts,False,False,failed_sampler_diagnostics,15.218265901891533,1.4681438570697023,2.814823970762125,12.086899271124523,0.0375,0.0375,1.0128214441518715,69.51878485771375,0,False,True,failed_sampler_diagnostics
