window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count
4,0.25,3,nuts,False,False,failed_sampler_diagnostics,20.617263005029717,3.8003642031609637,14.840495702588209,16.09629985025533,0.0125,0.175,1.0221523996874964,84.22997492126422,0
4,0.25,4,nuts,False,False,failed_sampler_diagnostics,20.803670435248783,3.6764829417182683,13.98065046003229,16.056384289072,0.025,0.175,1.009480206365223,91.00594815656507,0
4,0.25,5,nuts,False,False,failed_sampler_diagnostics,21.55667791013661,3.5411339096244356,12.947104043940687,16.20201118348055,0.075,0.175,1.0108578665872567,80.46280183282641,0
4,0.4,1,nuts,False,True,,19.92605779373954,3.9733651831746153,16.206550596476834,15.110465896189023,0.05,0.15,1.003851755475004,163.3852224506962,0
4,0.4,2,nuts,False,True,,21.797211155325503,3.330933782804705,11.631017004130712,16.506696311607566,0.075,0.225,1.007117820001484,150.61955347162484,0
4,0.4,3,nuts,False,True,,21.873424841337982,3.0818868832441653,10.102451090814347,16.847369551003776,0.0125,0.1,1.0366780012508319,102.60417047947006,0
4,0.4,4,nuts,False,True,,18.33677022915596,3.3572188077122034,11.90721396308457,14.200958465388164,0.225,0.25,1.0176241999188433,136.36974279397614,0
4,0.4,5,nuts,False,True,,20.883136878297464,3.5944869641987203,13.284455641153752,15.95022717586138,0.1,0.175,1.0151236527583176,102.1134785904898,0
4,0.6,1,nuts,False,True,,19.41972184773354,4.081297752021446,17.05667724917305,14.924597091662287,0.05,0.125,1.0068221998303448,134.82796050195685,0
4,0.6,2,nuts,False,True,,21.41940450210715,3.6466542000608584,13.79265883896836,16.231732247200863,0.0625,0.2375,1.0225613473194206,100.70596115465005,0
4,0.6,3,nuts_refined_fast,False,False,failed_sampler_diagnostics,15.955714150098352,3.3374142632073687,11.608927652019492,12.334994397212093,0.05,0.1125,1.0649425981194525,76.7215500219707,0
4,0.6,4,nuts,False,True,,19.734515594855512,3.5454868073523516,13.036813272420574,15.401873591199333,0.0625,0.125,1.0049661365845244,165.3159029514588,0
4,0.6,5,nuts,False,True,,18.416041113916684,3.3634516129755347,11.96366931374489,14.2040591349848,0.175,0.2625,1.02870400209742,123.95849290988089,0
4,0.8,1,nuts,False,True,,19.294912031788332,3.780559997384458,14.735358629709685,14.980939795428222,0.0625,0.125,1.0069159902599814,120.7689650274103,0
4,0.8,2,nuts,False,False,failed_sampler_diagnostics,17.289198898043303,3.975069533891225,16.23881898124987,13.29185372437927,0.1375,0.2375,1.0320038022014235,38.032398272331186,0
4,0.8,3,nuts,False,False,failed_sampler_diagnostics,21.11258901201894,3.559166558075776,13.212615039770487,16.51094918014595,0.075,0.1625,1.0135016139968887,77.24806882569305,0
4,0.8,4,nuts,False,True,,19.469421360876282,3.826324056224004,14.980005984156492,15.737938979886787,0.05,0.0875,1.0202934205437877,129.94274833813947,0
4,0.8,5,nuts,False,True,,20.447099013875395,3.1460672847023523,10.610490552714035,16.39590074436007,0.0625,0.175,1.0238160192844479,110.8996429307916,0
4,0.9,1,nuts,False,True,,19.147887304694876,3.908037460930727,15.704165444505417,14.901859160042312,0.0625,0.15,1.0179156886234877,160.28301574960608,0
4,0.9,2,nuts,False,False,failed_sampler_diagnostics,19.00834417549462,3.4526426143554945,12.566467223906232,14.96952473953433,0.1375,0.2375,1.0185560992479197,73.25695695458147,0
4,0.9,3,nuts,False,False,failed_sampler_diagnostics,18.85029120041357,3.80807195815112,14.976445637556179,14.820290467443474,0.0875,0.125,1.0205970886941054,71.07508012236663,0
4,0.9,4,nuts_refined_fast,True,True,,19.34053163653461,3.6664643155813295,13.964271162271473,15.043500910897194,0.0875,0.1375,1.0267236858425084,109.76577529497503,0
4,0.9,5,nuts,False,True,,22.64543918507304,3.6194595265762834,13.464638752026753,16.686245290807012,0.0875,0.1375,1.0127498568996705,147.46064908944993,0
4,1.0,1,nuts,False,False,failed_sampler_diagnostics,19.08199910718106,3.961812656792857,16.135319700679407,14.85543263204085,0.0625,0.1375,1.0163730185064368,53.078350802302914,0
