theta_ell,theta_sd,theta_sf,theta_w
-1.210701402616083167e+00,-6.053989356123403276e+00,1.950266429631665854e+00,3.703650426592465461e+00
-1.236381496984047645e+00,2.258869098869529690e+00,2.052688380195891504e+00,3.371165283956381042e+00
-1.217501883270928342e+00,5.033130569356825124e-01,2.007489934747499483e+00,3.455844660083069897e+00
-1.221014724735221213e+00,-2.958502899644688267e-02,2.019349928341519274e+00,3.515599320327634558e+00
-1.157923317135527208e+00,2.596919205617749249e-01,1.947264716333481527e+00,3.640936870454498209e+00
-1.171290810832636753e+00,1.098983373889001802e+00,1.951363379977416157e+00,3.721366911650406006e+00
-1.215262083558008133e+00,-1.589751705399115256e+00,1.908972746361963679e+00,3.571639358811168563e+00
-1.219430716831662043e+00,1.146399242969588173e+00,1.963337680725400824e+00,3.494759074838753143e+00
-1.210624264888455981e+00,-2.924946358997692619e-01,1.929856187341191243e+00,3.526936243505699231e+00
-1.264523993278840353e+00,-6.606259407706794873e-01,1.971782258499434670e+00,3.341745730191029384e+00
-1.268820795947092517e+00,-4.226485528421531912e-01,1.977706965804786554e+00,3.311608140541924428e+00
-1.172431767350965881e+00,-1.189388171971764940e+00,1.918672339908966906e+00,3.614819062424905027e+00
-1.265895259670662298e+00,1.084467141264068513e+00,1.961064477758945879e+00,3.406548703148069013e+00
-1.239362067282101298e+00,1.433856435459573975e-01,1.950010894962037833e+00,3.437437318570254252e+00
-1.270914477260899123e+00,-4.170482484033252168e-01,1.948599893659083371e+00,3.341538575605566219e+00
-1.226988213673177341e+00,-1.557823682388943087e+00,1.942275557468376102e+00,3.452702556277897461e+00
-1.237663989572003631e+00,-2.926238128164635022e+00,1.979397693002008962e+00,3.519912403094274111e+00
-1.145854287361899759e+00,-2.346614158743938194e+00,1.995212956266747328e+00,3.750423393086589563e+00
-1.097024964317985907e+00,-3.576911028172898188e+00,1.908150205786959930e+00,3.740481052188729283e+00
-1.207787861887959391e+00,-1.958267785902496616e+00,1.933183360721477451e+00,3.555599157690410017e+00
-1.212102845832413678e+00,1.676646773652400446e+00,1.955627767030297948e+00,3.492354220135498011e+00
-1.231059500368642867e+00,-2.198452614749011325e+00,1.962149267672258279e+00,3.444276878527949393e+00
-1.285460187808151522e+00,-4.104968133390700658e+00,1.971362493722980558e+00,3.507572934086375938e+00
-1.197703912001648163e+00,7.519335850768413820e-01,1.922423425621412774e+00,3.826803248842836958e+00
-1.183813387164024400e+00,5.044004177851876269e-01,1.936572040561224783e+00,3.701560646663283993e+00
-1.264342541272234000e+00,5.661702963286641133e-01,1.962466951688732975e+00,3.295196009597487929e+00
-1.264003878370286937e+00,-2.665636845771114372e-01,1.957523756184294861e+00,3.479068941395641712e+00
-1.189820898797940840e+00,-3.378935375372634775e-01,1.961233327820870009e+00,3.574128984096372807e+00
-1.202307600402966026e+00,2.454231121421126538e-01,1.923390001904776936e+00,3.607751286101656962e+00
-1.239390600519736818e+00,5.370867720508090692e-02,1.959247603733471177e+00,3.491931604455112303e+00
-1.257145012558034125e+00,8.051806198269134685e-02,1.985076016150636891e+00,3.432462397806712584e+00
