theta_ell,theta_sd,theta_sf,theta_w
-1.403290770601268944e+00,3.223725859125644022e-01,2.291294419180824882e+00,3.537516806072000808e+00
-1.284307234117852303e+00,-4.559680901115642504e-01,2.259838637101629022e+00,3.690192184027115463e+00
-1.316573714280872220e+00,-9.814344654530824386e-01,2.207911013077031637e+00,3.961970320392945943e+00
-1.344755962056084053e+00,6.565609568387689166e-01,2.294026936762433078e+00,3.499066520930604440e+00
-1.361261440046543481e+00,1.241522576450847515e+00,2.284418332431737753e+00,3.628563562792092689e+00
-1.401078711666175147e+00,9.259483094021367933e-01,2.380320236616187746e+00,3.418387904951680323e+00
-1.317622172245431100e+00,-1.606208635503779680e+00,2.164118376683792810e+00,4.032850217742781851e+00
-1.294868482773134932e+00,-1.416948871722000236e+00,2.171898665283493290e+00,3.946352221328012888e+00
-1.260888693482295819e+00,-1.863501494402203251e+00,2.239336008590807836e+00,3.735274600447887838e+00
-1.269658031587714619e+00,2.384297989558926467e+00,2.170898021189124005e+00,4.252554306621489033e+00
-1.281811339895395196e+00,-3.080773238659237911e+00,2.298650441040068770e+00,3.814130093601824534e+00
-1.337419513726326947e+00,-1.669873131022927115e+00,2.181075799344285304e+00,3.718480306172378569e+00
-1.366010615771479308e+00,-3.173046000614041517e+00,2.217210991034466616e+00,3.924879725101748651e+00
-1.298732402888302273e+00,-2.708121747588643657e+00,2.216929931531987918e+00,3.900975454036231582e+00
-1.351146989762102235e+00,-2.827650428969721741e+00,2.212417012671493044e+00,3.663841719689135967e+00
-1.317890073828795972e+00,-4.877234545845942293e+00,2.212170481135725009e+00,3.764752062794180176e+00
-1.329446463122712752e+00,-4.365316235234280917e+00,2.296149090357900491e+00,3.742412168959922791e+00
-1.274527112743681911e+00,1.052093229909057293e+00,2.165970061541565350e+00,3.936218860324843583e+00
-1.354363764392357616e+00,1.871557388166303681e+00,2.173217155772129594e+00,3.781270547267890692e+00
-1.231411571633454383e+00,-2.886168439739456915e+00,2.242432483461263892e+00,4.167266733351588925e+00
-1.197494503333730531e+00,-1.136095847708238793e+00,2.225579626477378614e+00,4.078536704020590875e+00
-1.331191840537679250e+00,1.370774222620602334e+00,2.205391581593600936e+00,3.827136084462811283e+00
-1.286451062079609464e+00,2.238827515692283665e+00,2.205049023509284112e+00,3.821427568230623351e+00
-1.389012455804143453e+00,-2.336149942428507487e+00,2.282275088727144130e+00,3.515294042857042722e+00
-1.373025429968918187e+00,8.269502446890234504e-01,2.273711979052928989e+00,3.480810016033613952e+00
-1.414190774263582417e+00,2.090160394509125386e+00,2.285750157744736111e+00,3.412577168364716584e+00
-1.422874706579793314e+00,1.721814687815171219e+00,2.292922141629734512e+00,3.406690395741289290e+00
-1.437175342079941354e+00,1.916716084543572673e+00,2.285333414646664618e+00,3.260030004989331154e+00
-1.167227255173069800e+00,-2.398048362419634039e+00,2.175131661376346948e+00,4.297174580705600988e+00
-1.374739041956116736e+00,-1.273034175993626782e+00,2.237831053331527098e+00,3.700660232532741567e+00
-1.387799581612756628e+00,-9.724274516639888066e-01,2.237638794823557653e+00,3.659263598744903145e+00
-1.387799581612756628e+00,-9.724274516639888066e-01,2.237638794823557653e+00,3.659263598744903145e+00
-1.350126113534104944e+00,-7.511383265887707772e-01,2.157201562740947764e+00,3.902597122217742687e+00
-1.313010631153156860e+00,-1.330248244395578316e+00,2.230707303264908514e+00,3.629493110637118214e+00
-1.365425987310782574e+00,-2.821544949434386051e+00,2.262961919022670632e+00,3.682015085577700297e+00
-1.300926404625208477e+00,1.706789559464736872e+00,2.262535809755465976e+00,3.916189708467587405e+00
-1.255652526558427073e+00,6.844613840591865506e-01,2.253071348167854815e+00,3.816610640415040390e+00
-1.237539932363281636e+00,1.949276967959311602e+00,2.246043733173487045e+00,3.964364287673900478e+00
-1.247808752123583664e+00,-4.333494295922262207e-01,2.254882364305228926e+00,3.953226016264894227e+00
-1.273704763122808892e+00,4.863637049330399309e-01,2.213576729160604106e+00,4.033253877941630705e+00
-1.269749332538393505e+00,5.821128266295130804e-02,2.259283938298373595e+00,3.846827562044454307e+00
-1.327321937370287808e+00,1.102385148683064475e+00,2.244387580301471008e+00,3.681606649397084485e+00
-1.339217934928676357e+00,1.018813099868691285e+00,2.244920272722770171e+00,3.672920721394398402e+00
-1.216177889558681002e+00,7.542861254793601367e-01,2.224132118950342907e+00,4.010458204070640242e+00
-1.277483464449807204e+00,4.394920330214382442e-01,2.249892303981763764e+00,4.037402812659484752e+00
-1.220358915995610527e+00,9.319144175072224812e-01,2.161345700708734441e+00,4.193924461529691783e+00
-1.247369980026778791e+00,1.620152240968275814e+00,2.156409372388112367e+00,4.131221636769002892e+00
-1.222601024168554984e+00,1.684008683799594008e+00,2.143679237796269010e+00,4.127665043426416602e+00
-1.340549330625907531e+00,7.929916928381972596e-01,2.181565503059557987e+00,3.699523427714231705e+00
-1.227945799076019417e+00,-1.302654809257122737e-02,2.242917243214127776e+00,4.148168348839784692e+00
-1.340468956453286120e+00,4.700299128139872051e-01,2.243676107083055538e+00,3.670868312654550714e+00
-1.294862830057306180e+00,2.204079664125059956e+00,2.257548662187958577e+00,3.836088031134323284e+00
-1.374304300191348194e+00,-1.550438300322884100e+00,2.254270577637045303e+00,3.538040508388940797e+00
-1.306761575985274426e+00,-1.294506558872874802e+00,2.150863838726982280e+00,3.876931553043488243e+00
-1.250267849251675223e+00,-6.349760580043957159e-01,2.244215706523448706e+00,3.938504970269856909e+00
-1.433414333350003567e+00,3.020953886413734191e-01,2.244418753295458480e+00,3.413849745028930016e+00
-1.240338001234215559e+00,-7.027795673487718942e-02,2.162485672985968499e+00,4.130895089989368607e+00
-1.405909252047069735e+00,6.972578067907996280e-01,2.350585892898837681e+00,3.330167775091590343e+00
-1.400668074595827983e+00,-1.189698989527014916e-01,2.307636254026232514e+00,3.326309214444543194e+00
-1.413215412721647857e+00,3.958259923470806574e-01,2.302264793568676193e+00,3.359877206994321686e+00
-1.206842075033952799e+00,-4.549760129403397357e-01,2.170933485793506534e+00,4.319925519255596313e+00
-1.209036121416202647e+00,-2.244841632333133052e+00,2.185287933882688716e+00,4.155010030280611666e+00
-1.341152876566717778e+00,-2.041332509240366466e+00,2.144256309254891413e+00,3.719914685889033290e+00
-1.237658467839122922e+00,-1.685761068848463662e-01,2.234072688820872177e+00,3.976782230214868541e+00
-1.219475286993747742e+00,1.193686477337496804e-01,2.183726252392699685e+00,4.177938474159169857e+00
-1.328070461196544594e+00,-2.479806366026292785e+00,2.240454145824525956e+00,3.681434459247040714e+00
-1.350467839176513252e+00,-1.994830588565390306e+00,2.240972914315676245e+00,3.780929448948763483e+00
-1.369185816331468297e+00,4.562370611925060659e-01,2.246176547330580586e+00,3.608620482270748386e+00
-1.385043920752170310e+00,-1.669167876691366903e+00,2.253580782661225079e+00,3.653735003206528997e+00
-1.247896084226226776e+00,1.890317654002967585e+00,2.220576239297419985e+00,4.058323064892173093e+00
-1.293466499556134908e+00,-1.628054309175192671e+00,2.203349929822170594e+00,3.816193404532650213e+00
-1.294183996668173187e+00,-8.192650628110561550e-01,2.168701521508348939e+00,4.093250213742928523e+00
-1.333833779167331146e+00,-1.679991384916184272e+00,2.179743251278628779e+00,3.881192981837522815e+00
-1.391512651549722035e+00,3.367875513891342432e-01,2.376107341138813389e+00,3.191006881977706655e+00
-1.459513227374353850e+00,-1.541588042731184549e-01,2.401599979259366524e+00,3.224755153388420226e+00
-1.435261460312023285e+00,6.034301643643165125e-01,2.368186483487745519e+00,2.809847832424442249e+00
-1.449056562297992290e+00,1.910241044929748888e+00,2.311373592984100167e+00,3.140430961389679254e+00
