# phi,psi,free_energy_kJ_per_mol
2.617993877991493523e-01,-2.530727415391777591e+00,3.904487032764518517e+01
4.363323129985823279e-01,-2.530727415391777591e+00,2.938554870127279983e+01
6.108652381980153034e-01,-2.530727415391777591e+00,2.153437543029782475e+01
7.853981633974482790e-01,-2.530727415391777591e+00,1.683511468091230157e+01
9.599310885968810325e-01,-2.530727415391777591e+00,1.585480537747379515e+01
1.134464013796313786e+00,-2.530727415391777591e+00,1.911221576868983263e+01
1.308996938995746984e+00,-2.530727415391777591e+00,2.581690439925061753e+01
1.483529864195180181e+00,-2.530727415391777591e+00,3.511989743615771431e+01
1.658062789394612935e+00,-2.530727415391777591e+00,4.535183040577251745e+01
1.832595714594045688e+00,-2.530727415391777591e+00,5.503475773413573791e+01
2.007128639793478886e+00,-2.530727415391777591e+00,6.379272964749029029e+01
2.181661564992912083e+00,-2.530727415391777591e+00,6.910113665106673864e+01
2.356194490192344837e+00,-2.530727415391777591e+00,6.994335051063579556e+01
2.530727415391777591e+00,-2.530727415391777591e+00,6.581517239010717901e+01
2.705260340591210344e+00,-2.530727415391777591e+00,5.839279835091338100e+01
2.879793265790643542e+00,-2.530727415391777591e+00,4.825540787973856993e+01
3.054326190990076739e+00,-2.530727415391777591e+00,3.802503610742345330e+01
-3.054326190990076739e+00,-2.356194490192344837e+00,3.190875263521090588e+01
-2.879793265790643986e+00,-2.356194490192344837e+00,2.482901096557530707e+01
-2.705260340591210788e+00,-2.356194490192344837e+00,2.049601172001798233e+01
-2.530727415391777591e+00,-2.356194490192344837e+00,1.832898800566330166e+01
-2.356194490192344837e+00,-2.356194490192344837e+00,1.789768074226297756e+01
-2.181661564992912083e+00,-2.356194490192344837e+00,1.839212195665918870e+01
-2.007128639793479330e+00,-2.356194490192344837e+00,1.868025745353969569e+01
-1.832595714594046132e+00,-2.356194490192344837e+00,1.838831774974610056e+01
-1.658062789394612935e+00,-2.356194490192344837e+00,1.847271282594157782e+01
-1.483529864195180181e+00,-2.356194490192344837e+00,1.953685487242641017e+01
-1.308996938995746984e+00,-2.356194490192344837e+00,2.233257177246742486e+01
-1.134464013796314230e+00,-2.356194490192344837e+00,2.762248114822608969e+01
-9.599310885968812546e-01,-2.356194490192344837e+00,3.537406776920251161e+01
-7.853981633974482790e-01,-2.356194490192344837e+00,4.427950590911466122e+01
-6.108652381980153034e-01,-2.356194490192344837e+00,5.322953100149084094e+01
-4.363323129985823279e-01,-2.356194490192344837e+00,5.830649747316320486e+01
-2.617993877991495744e-01,-2.356194490192344837e+00,5.784729454105685420e+01
-8.726646259971659880e-02,-2.356194490192344837e+00,5.281896736672560166e+01
8.726646259971637676e-02,-2.356194490192344837e+00,4.530935433224942699e+01
2.617993877991493523e-01,-2.356194490192344837e+00,3.625539412365388614e+01
4.363323129985823279e-01,-2.356194490192344837e+00,2.770375478863443064e+01
6.108652381980153034e-01,-2.356194490192344837e+00,2.100519333322619175e+01
7.853981633974482790e-01,-2.356194490192344837e+00,1.701908756693924829e+01
9.599310885968810325e-01,-2.356194490192344837e+00,1.665520724882528825e+01
1.134464013796313786e+00,-2.356194490192344837e+00,2.012589801871189366e+01
1.308996938995746984e+00,-2.356194490192344837e+00,2.670030248961349173e+01
1.483529864195180181e+00,-2.356194490192344837e+00,3.593210266643421846e+01
1.658062789394612935e+00,-2.356194490192344837e+00,4.592800300674225866e+01
1.832595714594045688e+00,-2.356194490192344837e+00,5.577295671333520488e+01
2.007128639793478886e+00,-2.356194490192344837e+00,6.450140042303553400e+01
2.181661564992912083e+00,-2.356194490192344837e+00,7.002634353496655706e+01
2.356194490192344837e+00,-2.356194490192344837e+00,7.108069238832035808e+01
2.530727415391777591e+00,-2.356194490192344837e+00,6.766174350870633702e+01
2.705260340591210344e+00,-2.356194490192344837e+00,6.086448752351375902e+01
