analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
block,5,1.0,23,5.0,76001,7.348265114565029,8,9501,9501
block,5,1.0,24,5.2,76001,7.356762463534753,8,9501,9338
block,5,1.0,25,5.4,76001,7.340740963291585,8,9501,6475
cumulative,1,0.2,1,1.45,76000,7.190181075831729,8,9500,9061
cumulative,1,0.2,2,1.6,76000,7.143262289039739,8,9500,9500
cumulative,1,0.2,3,1.75,76000,7.154925341619149,8,9500,9500
cumulative,1,0.2,4,1.9,76000,7.17324424703587,8,9500,9500
cumulative,1,0.2,5,2.05,76000,7.189871152941005,8,9500,9500
cumulative,1,0.2,6,2.2,76000,7.26856162905266,8,9500,9500
cumulative,1,0.2,7,2.35,76000,7.29276077970626,8,9500,9500
cumulative,1,0.2,8,2.5,76000,7.185268431031218,8,9500,9500
cumulative,1,0.2,9,2.65,76000,7.156185779886801,8,9500,9500
cumulative,1,0.2,10,2.8,76000,7.163168409622253,8,9500,9500
cumulative,1,0.2,11,2.95,76000,7.157851007035827,8,9500,9500
cumulative,1,0.2,12,3.1,76000,7.273729953884449,8,9500,9500
cumulative,1,0.2,13,3.25,76000,7.293259326051467,8,9500,9500
cumulative,1,0.2,14,3.4,76000,7.282601905348106,8,9500,9500
cumulative,1,0.2,15,3.55,76000,7.286491010603278,8,9500,9500
cumulative,1,0.2,16,3.7,76000,7.339568899090753,8,9500,9500
cumulative,1,0.2,17,3.85,76000,7.332662260719459,8,9500,9500
cumulative,1,0.2,18,4.0,76000,7.371814749155951,8,9500,9500
cumulative,1,0.2,19,4.2,76000,7.36011820236521,8,9500,9500
cumulative,1,0.2,20,4.4,76000,7.35246983995193,8,9500,9500
cumulative,1,0.2,21,4.6,76000,7.357579582336572,8,9500,9500
cumulative,1,0.2,22,4.8,76000,7.353696633192355,8,9500,9500
cumulative,1,0.2,23,5.0,76000,7.348739932404806,8,9500,9500
cumulative,1,0.2,24,5.2,76000,7.346555631824208,8,9500,9376
cumulative,1,0.2,25,5.4,76000,7.345942275198866,8,9500,6014
cumulative,2,0.4,1,1.45,152000,7.179909780459244,8,19000,18036
cumulative,2,0.4,2,1.6,152000,7.141438320964606,8,19000,19000
cumulative,2,0.4,3,1.75,152000,7.172029255026595,8,19000,19000
cumulative,2,0.4,4,1.9,152000,7.171006118526369,8,19000,19000
cumulative,2,0.4,5,2.05,152000,7.181812684111643,8,19000,19000
cumulative,2,0.4,6,2.2,152000,7.280569910352309,8,19000,19000
cumulative,2,0.4,7,2.35,152000,7.286353929005503,8,19000,19000
cumulative,2,0.4,8,2.5,152000,7.184159539604766,8,19000,19000
cumulative,2,0.4,9,2.65,152000,7.1891833987139355,8,19000,19000
cumulative,2,0.4,10,2.8,152000,7.160910060984577,8,19000,19000
cumulative,2,0.4,11,2.95,152000,7.177552239380321,8,19000,19000
cumulative,2,0.4,12,3.1,152000,7.286039582687998,8,19000,19000
cumulative,2,0.4,13,3.25,152000,7.291895137810891,8,19000,19000
cumulative,2,0.4,14,3.4,152000,7.288266230639637,8,19000,19000
cumulative,2,0.4,15,3.55,152000,7.279279489207609,8,19000,19000
cumulative,2,0.4,16,3.7,152000,7.344319229422782,8,19000,19000
cumulative,2,0.4,17,3.85,152000,7.3354875696281585,8,19000,19000
cumulative,2,0.4,18,4.0,152000,7.37045386632266,8,19000,19000
cumulative,2,0.4,19,4.2,152000,7.360000302065664,8,19000,19000
cumulative,2,0.4,20,4.4,152000,7.357667749608977,8,19000,19000
cumulative,2,0.4,21,4.6,152000,7.356542441739382,8,19000,19000
cumulative,2,0.4,22,4.8,152000,7.352778644373143,8,19000,19000
cumulative,2,0.4,23,5.0,152000,7.353361267740344,8,19000,19000
cumulative,2,0.4,24,5.2,152000,7.349907014846975,8,19000,18730
cumulative,2,0.4,25,5.4,152000,7.34727521956901,8,19000,11843
