method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,profile_points
loo_map,Optimized GP (LOO),10,0.04,7.173785385593542,0.57,0.85,100
loo_map,Optimized GP (LOO),10,0.063,6.397879303424093,0.59,0.94,100
loo_map,Optimized GP (LOO),10,0.1,4.971811218939169,0.81,1.0,100
loo_map,Optimized GP (LOO),10,0.16,6.525706220544176,0.49,0.9,100
loo_map,Optimized GP (LOO),10,0.25,3.8337809815223043,0.74,1.0,100
loo_map,Optimized GP (LOO),10,0.4,9.710647200666644,0.4,0.59,100
loo_map,Optimized GP (LOO),10,0.6,3.3188885790173064,0.87,1.0,100
loo_map,Optimized GP (LOO),10,0.8,3.727274213384161,0.98,1.0,100
loo_map,Optimized GP (LOO),10,0.9,1.377858161524399,1.0,1.0,100
loo_map,Optimized GP (LOO),10,1.0,4.095146312100395,0.73,1.0,100
loo_map,Optimized GP (LOO),13,0.04,5.928889403900988,0.58,0.91,100
loo_map,Optimized GP (LOO),13,0.063,2.6851278204422555,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.1,1.8027645076305132,0.85,1.0,100
loo_map,Optimized GP (LOO),13,0.16,1.785111488509566,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.25,2.0670707272399222,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.4,1.347552884709714,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.6,1.1799638025483932,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.8,2.7080791744239643,1.0,1.0,100
loo_map,Optimized GP (LOO),13,0.9,1.7142191550573105,0.98,1.0,100
loo_map,Optimized GP (LOO),13,1.0,2.323455551628646,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.04,2.6635927463768003,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.063,2.55064896053453,0.66,1.0,100
loo_map,Optimized GP (LOO),16,0.1,1.913002141077664,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.16,2.720217690818426,0.85,1.0,100
loo_map,Optimized GP (LOO),16,0.25,1.688042221088935,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.4,1.1761776920074332,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.6,2.1424894265114203,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.8,2.0800876910807578,1.0,1.0,100
loo_map,Optimized GP (LOO),16,0.9,1.860105112563693,1.0,1.0,100
loo_map,Optimized GP (LOO),16,1.0,1.1843982466608933,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.04,2.31050056155318,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.063,2.942390517554097,0.87,1.0,100
loo_map,Optimized GP (LOO),19,0.1,2.2300277112820366,0.69,1.0,100
loo_map,Optimized GP (LOO),19,0.16,1.6648695505530116,0.89,1.0,100
loo_map,Optimized GP (LOO),19,0.25,1.5483737560857476,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.4,1.6305996827581901,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.6,1.3915217388175225,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.8,1.500518015086638,1.0,1.0,100
loo_map,Optimized GP (LOO),19,0.9,1.3459931793437854,1.0,1.0,100
loo_map,Optimized GP (LOO),19,1.0,1.3558337063516888,1.0,1.0,100
loo_map,Optimized GP (LOO),22,0.04,3.287802636170119,0.56,0.92,100
loo_map,Optimized GP (LOO),22,0.063,3.685806734938225,0.6,1.0,100
loo_map,Optimized GP (LOO),22,0.1,2.1930669412695862,0.66,1.0,100
loo_map,Optimized GP (LOO),22,0.16,2.0986948595160313,0.88,1.0,100
loo_map,Optimized GP (LOO),22,0.25,1.8214466902478192,1.0,1.0,100
loo_map,Optimized GP (LOO),22,0.4,0.9303009965491656,1.0,1.0,100
loo_map,Optimized GP (LOO),22,0.6,1.4124023570983224,1.0,1.0,100
loo_map,Optimized GP (LOO),22,0.8,1.557355112668561,1.0,1.0,100
loo_map,Optimized GP (LOO),22,0.9,1.9200733625301853,1.0,1.0,100
loo_map,Optimized GP (LOO),22,1.0,1.507760762738468,1.0,1.0,100
loo_map,Optimized GP (LOO),25,0.04,4.121325198832871,0.44,0.63,100
loo_map,Optimized GP (LOO),25,0.063,2.778755514907308,0.6,0.86,100
loo_map,Optimized GP (LOO),25,0.1,2.133376618290472,0.65,1.0,100
loo_map,Optimized GP (LOO),25,0.16,2.3564266052393488,0.72,1.0,100
loo_map,Optimized GP (LOO),25,0.25,1.7370050843009563,0.99,1.0,100
loo_map,Optimized GP (LOO),25,0.4,0.8552647845294524,1.0,1.0,100
loo_map,Optimized GP (LOO),25,0.6,1.7886185409866067,1.0,1.0,100
loo_map,Optimized GP (LOO),25,0.8,0.8582931937177422,1.0,1.0,100
loo_map,Optimized GP (LOO),25,0.9,1.0165166888115953,1.0,1.0,100
loo_map,Optimized GP (LOO),25,1.0,0.9081404287241588,1.0,1.0,100
loo,Hierarchical GP (LOO),3,0.04,16.17452361456599,0.44,0.54,100
loo,Hierarchical GP (LOO),3,0.063,15.86602693777487,0.45,0.54,100
loo,Hierarchical GP (LOO),3,0.1,14.009380322152287,0.46,0.59,100
loo,Hierarchical GP (LOO),3,0.16,13.161181898662669,0.47,0.72,100
loo,Hierarchical GP (LOO),3,0.25,14.941832329746195,0.49,0.59,100
loo,Hierarchical GP (LOO),3,0.4,15.918938825254875,0.45,0.5,100
loo,Hierarchical GP (LOO),3,0.6,16.259185352817415,0.36,0.5,100
loo,Hierarchical GP (LOO),3,0.8,16.13798452793537,0.45,0.57,100
loo,Hierarchical GP (LOO),3,0.9,13.728003379476139,0.46,0.59,100
loo,Hierarchical GP (LOO),3,1.0,12.974152360839964,0.49,0.69,100
loo,Hierarchical GP (LOO),4,0.04,12.687055034103773,0.44,0.67,100
loo,Hierarchical GP (LOO),4,0.063,15.894533681964676,0.44,0.58,100
loo,Hierarchical GP (LOO),4,0.1,12.947448704367973,0.4,0.6,100
loo,Hierarchical GP (LOO),4,0.16,15.372933196699115,0.44,0.59,100
loo,Hierarchical GP (LOO),4,0.25,14.473027708515744,0.64,0.73,100
loo,Hierarchical GP (LOO),4,0.4,14.73113785347744,0.37,0.58,100
loo,Hierarchical GP (LOO),4,0.6,11.98374239925329,0.54,0.68,100
loo,Hierarchical GP (LOO),4,0.8,13.24305532878683,0.42,0.62,100
loo,Hierarchical GP (LOO),4,0.9,14.732453797655149,0.47,0.54,100
loo,Hierarchical GP (LOO),4,1.0,14.871843668702356,0.43,0.57,100
loo,Hierarchical GP (LOO),6,0.04,12.365842681771172,0.29,0.64,100
loo,Hierarchical GP (LOO),6,0.063,11.374546998986052,0.44,0.74,100
loo,Hierarchical GP (LOO),6,0.1,11.563637897184533,0.41,0.64,100
loo,Hierarchical GP (LOO),6,0.16,9.544202419889857,0.42,0.85,100
loo,Hierarchical GP (LOO),6,0.25,11.811834944958534,0.19,0.62,100
loo,Hierarchical GP (LOO),6,0.4,10.418177930053675,0.55,0.76,100
loo,Hierarchical GP (LOO),6,0.6,5.850166618520479,0.89,1.0,100
loo,Hierarchical GP (LOO),6,0.8,9.209384183043017,0.75,1.0,100
loo,Hierarchical GP (LOO),6,0.9,11.781998652873847,0.56,0.83,100
loo,Hierarchical GP (LOO),6,1.0,12.60635487446356,0.51,0.71,100
loo,Hierarchical GP (LOO),8,0.04,10.190430859319678,0.4,0.79,100
loo,Hierarchical GP (LOO),8,0.063,11.15907135796345,0.25,0.69,100
loo,Hierarchical GP (LOO),8,0.1,11.317933598716392,0.32,0.67,100
loo,Hierarchical GP (LOO),8,0.16,9.156492578014456,0.43,0.78,100
loo,Hierarchical GP (LOO),8,0.25,8.014749746632319,0.62,0.72,100
loo,Hierarchical GP (LOO),8,0.4,7.975233334084639,0.63,0.69,100
loo,Hierarchical GP (LOO),8,0.6,9.929361980332958,0.51,0.7,100
loo,Hierarchical GP (LOO),8,0.8,6.976675219447465,0.66,0.76,100
loo,Hierarchical GP (LOO),8,0.9,4.398312973233666,0.75,1.0,100
loo,Hierarchical GP (LOO),8,1.0,7.833739113373567,0.65,0.69,100
loo,Hierarchical GP (LOO),10,0.04,6.953020146509703,0.57,0.93,100
loo,Hierarchical GP (LOO),10,0.063,6.61582105443635,0.59,0.94,100
loo,Hierarchical GP (LOO),10,0.1,8.437031156590075,0.7,0.74,100
