method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol
loo_map,Optimized GP (LOO),6,1.0,12.833557251665527
loo_map,Optimized GP (LOO),8,0.04,10.443855447304626
loo_map,Optimized GP (LOO),8,0.063,4.456915720100067
loo_map,Optimized GP (LOO),8,0.1,6.688578325121094
loo_map,Optimized GP (LOO),8,0.16,3.7137703805241604
loo_map,Optimized GP (LOO),8,0.25,7.902383371318711
loo_map,Optimized GP (LOO),8,0.4,6.800910312126006
loo_map,Optimized GP (LOO),8,0.6,8.566728830096695
loo_map,Optimized GP (LOO),8,0.8,6.774858590814927
loo_map,Optimized GP (LOO),8,0.9,3.9852533391806833
loo_map,Optimized GP (LOO),8,1.0,4.75143210806687
loo_map,Optimized GP (LOO),10,0.04,7.173785385593542
loo_map,Optimized GP (LOO),10,0.063,6.397879303424093
loo_map,Optimized GP (LOO),10,0.1,4.971811218939169
loo_map,Optimized GP (LOO),10,0.16,6.525706220544176
loo_map,Optimized GP (LOO),10,0.25,3.8337809815223043
loo_map,Optimized GP (LOO),10,0.4,9.710647200666644
loo_map,Optimized GP (LOO),10,0.6,3.3188885790173064
loo_map,Optimized GP (LOO),10,0.8,3.727274213384161
loo_map,Optimized GP (LOO),10,0.9,1.377858161524399
loo_map,Optimized GP (LOO),10,1.0,4.095146312100395
loo_map,Optimized GP (LOO),13,0.04,5.928889403900988
loo_map,Optimized GP (LOO),13,0.063,2.6851278204422555
loo_map,Optimized GP (LOO),13,0.1,1.8027645076305132
loo_map,Optimized GP (LOO),13,0.16,1.785111488509566
loo_map,Optimized GP (LOO),13,0.25,2.0670707272399222
loo_map,Optimized GP (LOO),13,0.4,1.347552884709714
loo_map,Optimized GP (LOO),13,0.6,1.1799638025483932
loo_map,Optimized GP (LOO),13,0.8,2.7080791744239643
loo_map,Optimized GP (LOO),13,0.9,1.7142191550573105
loo_map,Optimized GP (LOO),13,1.0,2.323455551628646
loo_map,Optimized GP (LOO),16,0.04,2.6635927463768003
loo_map,Optimized GP (LOO),16,0.063,2.55064896053453
loo_map,Optimized GP (LOO),16,0.1,1.913002141077664
loo_map,Optimized GP (LOO),16,0.16,2.720217690818426
loo_map,Optimized GP (LOO),16,0.25,1.688042221088935
loo_map,Optimized GP (LOO),16,0.4,1.1761776920074332
loo_map,Optimized GP (LOO),16,0.6,2.1424894265114203
loo_map,Optimized GP (LOO),16,0.8,2.0800876910807578
loo_map,Optimized GP (LOO),16,0.9,1.860105112563693
loo_map,Optimized GP (LOO),16,1.0,1.1843982466608933
loo_map,Optimized GP (LOO),19,0.04,2.31050056155318
loo_map,Optimized GP (LOO),19,0.063,2.942390517554097
loo_map,Optimized GP (LOO),19,0.1,2.2300277112820366
loo_map,Optimized GP (LOO),19,0.16,1.6648695505530116
loo_map,Optimized GP (LOO),19,0.25,1.5483737560857476
loo_map,Optimized GP (LOO),19,0.4,1.6305996827581901
loo_map,Optimized GP (LOO),19,0.6,1.3915217388175225
loo_map,Optimized GP (LOO),19,0.8,1.500518015086638
loo_map,Optimized GP (LOO),19,0.9,1.3459931793437854
loo_map,Optimized GP (LOO),19,1.0,1.3558337063516888
loo_map,Optimized GP (LOO),22,0.04,3.287802636170119
loo_map,Optimized GP (LOO),22,0.063,3.685806734938225
loo_map,Optimized GP (LOO),22,0.1,2.1930669412695862
loo_map,Optimized GP (LOO),22,0.16,2.0986948595160313
loo_map,Optimized GP (LOO),22,0.25,1.8214466902478192
loo_map,Optimized GP (LOO),22,0.4,0.9303009965491656
loo_map,Optimized GP (LOO),22,0.6,1.4124023570983224
loo_map,Optimized GP (LOO),22,0.8,1.557355112668561
loo_map,Optimized GP (LOO),22,0.9,1.9200733625301853
loo_map,Optimized GP (LOO),22,1.0,1.507760762738468
loo_map,Optimized GP (LOO),25,0.04,4.121325198832871
loo_map,Optimized GP (LOO),25,0.063,2.778755514907308
loo_map,Optimized GP (LOO),25,0.1,2.133376618290472
loo_map,Optimized GP (LOO),25,0.16,2.3564266052393488
loo_map,Optimized GP (LOO),25,0.25,1.7370050843009563
loo_map,Optimized GP (LOO),25,0.4,0.8552647845294524
loo_map,Optimized GP (LOO),25,0.6,1.7886185409866067
loo_map,Optimized GP (LOO),25,0.8,0.8582931937177422
loo_map,Optimized GP (LOO),25,0.9,1.0165166888115953
loo_map,Optimized GP (LOO),25,1.0,0.9081404287241588
loo,Hierarchical GP (LOO),3,0.04,16.17452361456599
loo,Hierarchical GP (LOO),3,0.063,15.86602693777487
loo,Hierarchical GP (LOO),3,0.1,14.009380322152287
loo,Hierarchical GP (LOO),3,0.16,13.161181898662669
loo,Hierarchical GP (LOO),3,0.25,14.941832329746195
loo,Hierarchical GP (LOO),3,0.4,15.918938825254875
loo,Hierarchical GP (LOO),3,0.6,16.259185352817415
loo,Hierarchical GP (LOO),3,0.8,16.13798452793537
loo,Hierarchical GP (LOO),3,0.9,13.728003379476139
loo,Hierarchical GP (LOO),3,1.0,12.974152360839964
